-----------------------------------------
 T (K)     ρ_s (g/cm^3)   ρ_n (g/cm^3) 
----------------------------------------
0.0         0.14513         0.0
0.05        0.14513         2.95e-29    	       
0.1         0.14512         5.9e-9
0.15	    0.14511         8.85e-29
0.2         0.1451          2.771e-28
0.25	    0.14509         6.687e-28
0.3         0.14509         1.368e-27
0.35	    0.14508         2.502e-27
0.4         0.14508         4.242e-27
0.45	    0.14509         7.03e-27
0.5         0.14511         1.249e-26
0.55	    0.14512         2.588e-26
0.6         0.14513         6.069e-26
0.65	    0.14513         1.452e-25
0.7         0.14511         3.295e-25
0.75	    0.14506         6.923e-25
0.8         0.14498         1.345e-24
0.85	    0.14486         2.431e-24
0.9         0.14469         4.127e-24
0.95	    0.14446         6.636e-24
1.0         0.14414         0.00102
1.05	    0.14371         0.00141
1.1         0.14313         0.00199
1.15	    0.14235         0.00276
1.2         0.14137         0.00375
1.25	    0.14012         0.00499
1.3         0.1386          0.00652
1.35	    0.13676         0.00837
1.4         0.13457         0.01057
1.45	    0.13199         0.01316
1.5         0.129           0.01617
1.55	    0.12556         0.01963
1.6         0.12163         0.02358
1.65	    0.11715         0.02809
1.7         0.11206         0.03321
1.75	    0.1063          0.039
1.8         0.09982         0.04554
1.85	    0.09254         0.05286
1.9         0.08444         0.06103
1.95	    0.07542         0.07012
2.0         0.06507         0.08055
2.05	    0.05275         0.09297
2.1         0.03779         0.10804
2.11	    0.03443         0.11143
2.12	    0.03091         0.11497
2.13	    0.02718         0.11874
2.14	    0.02311         0.12284
2.15	    0.01862         0.12737
2.16	    0.01359         0.13243
2.17	    0.00729         0.13878
2.171	    0.00652         0.13955
2.172	    0.00572         0.14036
2.173	    0.00489         0.1412
2.174	    0.00401         0.14208
2.175	    0.003           0.1431
2.176	    0.00175         0.14436
2.1768	    0.0	            0.14611
